id,collectible,slug,classId,multiClassIds,cardTypeId,cardSetId,rarityId,artistName,health,attack,manaCost,name,text,image,imageGold,flavorText,cropImage,keywordIds,copyOfCardId,duels,childIds,spellSchoolId,minionTypeId,durability,armor
60143,1,60143-ancient-void-hound,14,[],4,1443,4,Jaemin Kim,10.0,10.0,9,Ancient Void Hound,"At the end of your turn, steal 1 Attack and Health from all enemy minions.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30a9bfc195907a4a12619f160f04b11169028d20f8cf4640bc431d98eb035484.png,,What happened to my 1/1 Void Pup? And the glee club?!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bf9596241b12fc2350f54033f66ecf75594075c6c9be5eaf1c642d02d6545258.png,,,"{'relevant': True, 'constructed': True}",,,15.0,,
69596,1,69596-ancient-of-war,2,[],4,1637,4,Sean O’Daniels,5.0,5.0,7,Ancient of War,<b>Choose One -</b> +5 Attack; or +5 Health and <b>Taunt</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0dac7d33f7230451bf53cd8eafd40a409d42595176a374e87c28eb65bce76696.png,,"Young Night Elves love to play ""Who can get the Ancient of War to Uproot?"" You lose if you get crushed to death.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7721a0264ddc3d862432d48c20683332fe30acb2a91bb9ad6bf0e03c0052883.png,[1],1035.0,"{'relevant': True, 'constructed': True}",,,,,
64903,1,64903-anetheron,9,[],4,1578,5,Alex Horley Orlandelli,6.0,8.0,6,Anetheron,Costs (1) if your hand is full.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f414d5f454c40d28069a8de4b2900c0fb2f406c36c0fc6aaa9a6486a58afdbae.png,,Leads every demonic invasion. Hopefully this one turns out better than the World Tree.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0441747cb9500beb3a0bec7dd0055bf59a5898e892ad1e0b50fc10495bfb08b9.png,,,"{'relevant': True, 'constructed': True}",,,15.0,,
59029,1,59029-animated-broomstick,12,[],4,1443,1,Jim Nelson,1.0,1.0,1,Animated Broomstick,<b>Rush</b> <b>Battlecry:</b> Give your other minions <b>Rush</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3927cf987c2d04f05b73538babfe4ec5cae0dbebb61becba72713436bb793f02.png,,"""Blimey, that's a Stratocumulus 1000!""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5047761e59ec252f1478a719dc0b9c92515aa01d436fd16376442478c298c055.png,"[8, 53]",,"{'relevant': True, 'constructed': True}",,,,,
69718,1,69718-annoy-o-tron,12,[],4,1637,1,Matt Dixon,2.0,1.0,2,Annoy-o-Tron,<b>Taunt</b> <b>Divine Shield</b>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c1447bf73f4344342e2bae64afac0d3df21ec299ea3a9a900504cc445849744d.png,,"The inventor of the Annoy-o-Tron was immediately expelled from Tinkerschool, Tinkertown, and was eventually exiled from the Eastern Kingdoms altogether.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52cb1e2ebe613c272ed7caa611716d46f881ab81b326204a2ba33c13a9766f68.png,"[1, 3]",2053.0,"{'relevant': True, 'constructed': True}",,,17.0,,
57217,1,57217-apexis-blast,4,[],5,1414,4,Anton Zemskov,,,5,Apexis Blast,"Deal 5 damage. If your deck has no minions, summon a random 5-Cost minion.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b25ab0491d1fa3672991edf4bf853b0c38460aa57fc5d5ea1c34d7271a79f63a.png,,Lonely mages can still have a blast!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d0ba23e1ec05c7160ea43fc873069170a92f3c0b509fe94bea5a47c4b2966e1.png,,,,,,,,
56461,1,56461-apexis-smuggler,4,[],4,1414,4,Ivan Fomin,3.0,2.0,2,Apexis Smuggler,"After you play a <b>Secret</b>, <b>Discover</b> a spell.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2273cb010b8328ebc6fe9c88adb11fad89f1f08b78f281a25de8f187c54f421d.png,,"""S-secrets? I don't have any! Whoa, look, a spell!""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ff3557039417c33443c0dbdd94c1d1b74f5a37a92d116b846f338f0a2b66e3d2.png,"[5, 21]",,,,,,,
62895,1,62895-apothecary-helbrim,7,[],4,1525,5,Mike Sass,2.0,3.0,4,Apothecary Helbrim,<b>Battlecry and Deathrattle:</b> Add a random Poison to your hand.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7c54067a2cbefa674c4cca2172f647490c9cc10dbaf023440ea7dad70461108.png,,The best way to maintain your health is to poison everyone else.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af9523ae22f274f3d6df5a74ab0bdb5674622739315980eeede5fa390fc46cd5.png,"[8, 12]",,"{'relevant': True, 'constructed': True}",,,,,
63193,1,63193-apothecarys-caravan,9,[],4,1525,3,Vladimir Kafanov,3.0,1.0,2,Apothecary's Caravan,"At the start of your turn, summon a 1-Cost minion from your deck.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e20b6b37455ee580f4d2a194f2e79032afc23c4d1f29f48ca3bb91538d5785da.png,,"If you won't bring out your dead, we'll bring the dead to you.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3c95cff237a6b1cc979ad863989ff52026907aa697f8775843db635f8d2bb34b.png,,,"{'relevant': True, 'constructed': True}",,,,,
56623,1,56623-apotheosis,6,[],5,1414,1,Eva Widermann,,,3,Apotheosis,Give a minion +1/+2 and <b>Lifesteal</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/33987041c2fb84ad2169c2129bfefac625b06e94b0eec4c6f675d905d7c407ed.png,,Defined as the absolute pinnacle of existence. Plus Lifesteal.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b1a4b77a3aa0a8a011eb9480330181e9069b3da50e0bbffa937f8215ec9b1aa.png,[38],,,,5.0,,,
61964,1,61964-arbor-up,2,[],5,1466,3,Vladimir Kafanov,,,5,Arbor Up,Summon two 2/2 Treants. Give your minions +2/+1.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de9c92d3221ec4ae728cd2659c00828d5bd3948395832d74c5c577264facc0e5.png,,"If you can’t outrun a tree, you really shouldn’t be here anyway.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6146eab2b6f050d271fc2fa0f5ca010150a0c1720c21761f6f3f76c7dd7960a.png,,,"{'relevant': True, 'constructed': True}",[61465],4.0,,,
69722,1,69722-arcane-anomaly,12,[],4,1637,1,Alex Alexandrov,1.0,2.0,1,Arcane Anomaly,"After you cast a spell, give this minion +1 Health.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5eb8047374cda0bafe053904abea1379b81c5b377dd76f06e667a4d400e60bf.png,,"He used to get work as a Spatial Anomaly, but he got tired of having his polarity reversed.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d04ddae9313a1d450af998ffe08689ecf12ec49ee9b435aac896fe9aec6d1fb.png,,39215.0,"{'relevant': True, 'constructed': True}",,,18.0,,
69670,1,69670-arcane-devourer,12,[],4,1637,3,Ivan Fomin,8.0,4.0,8,Arcane Devourer,"Whenever you cast a spell, gain +2/+2.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/40bcfaabaa73cfc44f49ccc650d6b1d5b087db8119f896f57343f6427009f04f.png,,Likes her magic with a pinch of salt.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8845081f7e769cf76f533323729d0ebbfe0b746c561ebe5c7ec95a9704ac12cd.png,,54837.0,"{'relevant': True, 'constructed': True}",,,18.0,,
69500,1,69500-arcane-intellect,4,[],5,1637,1,Dave Berggren,,,3,Arcane Intellect,Draw 2 cards.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0609c0a9644a9a6888c5c39cef2da872cfdff6e3b15ef64c7b20138c7bc949bc.png,,Playing this card makes you SMARTER. And let's face it: we could all stand to be a little smarter.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07e2144f36b8ce0df97c8bbf05fcf25bec4e0ef9806e444e35e1ff6cd6f7d71b.png,,555.0,"{'relevant': True, 'constructed': True}",,1.0,,,
63060,1,63060-arcane-luminary,4,[],4,1525,4,Maria Trepalina,3.0,4.0,3,Arcane Luminary,"Cards that didn't start in your deck cost (2) less, but not less than (1).",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a50060e1812ee2b1b293d3c860e8173eeac9588f5689709819836ea6476fd7d4.png,,They say true value is the cards you find along the way.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f65ee5fde6c77f86c370bbe1c848c1c2b4043843f89a9140737568a5521f285.png,,,"{'relevant': True, 'constructed': True}",,,18.0,,
65684,1,65684-arcane-overflow,4,[],5,1578,3,Arthur Gimaldinov,,,5,Arcane Overflow,Deal 8 damage to an enemy minion. Summon a Remnant with stats equal to the excess damage.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/942a780f3b616f6b63915be956175f69ba4d826eb2ad385b7938f5def3c68dc9.png,,"On this ship, when you can’t use an int, learn how to float.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cfd0591a7d7e14f8ad37c50a07d6ec944d5c5562761cc22ac9865a2c9b12673e.png,,,"{'relevant': True, 'constructed': True}",[69499],1.0,,,
69546,1,69546-arcane-shot,3,[],5,1637,3,Luca Zontini,,,1,Arcane Shot,Deal 2 damage.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a5732badf266ec3773234ae61361bc5354041c8497a5232d86535b66a4d6f00c.png,,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves. The resulting loss of jobs sent Stormwind into a minor recession.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca2611fb767276564bb3f040b4ae701359b5769760e010b10124e8651022a603.png,,877.0,"{'relevant': True, 'constructed': True}",,1.0,,,
69702,1,69702-arcanologist,4,[],4,1637,1,Eva Widermann,3.0,2.0,2,Arcanologist,<b>Battlecry:</b> Draw a <b>Secret</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c9bb8001415b8f0af2fb6b636ef9255f2f5d9e3a7fa1c13e556bee0eaae8c6a3.png,,What did you draw? Shhhh… it’s a secret.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/862a9f96d450423de817570a7599eb5f2f518fd990e399777272687b941a6bfb.png,"[5, 8]",41153.0,"{'relevant': True, 'constructed': True}",,,,,
63432,1,63432-archdruid-naralex,12,[],4,1525,5,Arthur Bozonnet,3.0,3.0,3,Archdruid Naralex,"<b>Dormant</b> for 2 turns. While <b>Dormant</b>, add a Dream card to your hand at the end of your turn.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52542b88bd0b6e7baedbc0fd63f12575e41335c3f5f4f90c72c7bf28163222b0.png,,"""Dormant? I think you mean naptime.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51c8138c8c610a3cad98adaa643f687076e4a3efd5c7bb9a6cd8fe48b397062d.png,,,"{'relevant': True, 'constructed': True}",,,,,
56689,1,56689-archspore-msshifn,2,[],4,1414,5,Anton Zemskov,4.0,3.0,3,Archspore Msshi'fn,<b>Taunt</b> <b>Deathrattle:</b> Shuffle 'Msshi'fn Prime' into your deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b1e5132f5853945073d053413400700adeb12eafed57b293e990d89e5a83c83.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d6f4eb18dda6090c3f5432e5e6a191017587975e4e58e7b91d585e5caf0d16c.png,Brave leader of the Sporeggar. Guided by the philosophy that one should not mssh with matters that are not one's msshiness.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ee0ae3c4a2029ebd52f5035bdae33cf62b48dc29d6eaf2ebd3da1ca13e7ab10.png,"[1, 12]",,,"[57782, 57783, 57784, 57986, 57987, 57988]",,,,
59252,1,59252-archwitch-willow,9,[],4,1443,5,Alex Horley Orlandelli,5.0,5.0,8,Archwitch Willow,<b>Battlecry:</b> Summon a random Demon from your hand and deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ae174378f2661dbeb0936219742708dbc787e552ee76ccddd4d6bdde932f371.png,,One of the demons will do all the work while the other gets the same grade.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/02a07aee211202f429e90464bef8cfb0f97eb7a59ed55aa9bfc4b265504a385b.png,[8],,"{'relevant': True, 'constructed': True}",,,,,
59616,1,59616-argent-braggart,5,[],4,1443,4,Matt Dixon,1.0,1.0,2,Argent Braggart,<b>Battlecry:</b> Gain Attack and Health to match the highest in the battlefield.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad23f099d8f493cd15ec12482c3a6f0d7e4ab92ac1e275f6b04eaab8b01b35c6.png,,"Not sure why he's bragging, he's got the same stats as the next guy.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5962d6e2dcc4f935e8167f1c72a0cdb85db454fc9bbd4131d7f1150dadb8a33a.png,[8],,"{'relevant': True, 'constructed': True}",,,,,
69611,1,69611-argent-protector,5,[],4,1637,1,Doug Alexander,2.0,3.0,2,Argent Protector,<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f56a4d0a4146445ad3e7ae493e1c66f9ef44c9355d6890947357209bf4e58e6.png,,"""I'm not saying you can dodge fireballs. I'm saying with this shield, you won't have to.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa7f0000ba34638e60b173d956af4fd426e9ef9bc71a1dd932afabb7b443465b.png,"[3, 8]",1022.0,"{'relevant': True, 'constructed': True}",,,,,
69653,1,69653-argent-squire,12,[],4,1637,1,Zoltan & Gabor,1.0,1.0,1,Argent Squire,<b>Divine Shield</b>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6cee9d340594a56ff6058ce9e17d75c646475c837f6662b0cfcc1c6cd185d594.png,,"""I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos."" - The Argent Dawn Oath",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c97a4a72cd48ad4a136efc3608ff4e08019ec4addc537a40cf19f213c744a70.png,[3],757.0,"{'relevant': True, 'constructed': True}",,,,,
63072,1,63072-arid-stormer,8,[],4,1525,1,Jakub Kasper,5.0,2.0,3,Arid Stormer,"<b>Battlecry:</b> If you played an Elemental last turn, gain <b>Rush</b> and <b>Windfury</b>.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/258df0496e3acace938c4e41072573fe872732a6bc2082511628848e3d29f1ee.png,,"Some people chase storms, some storms chase elementals.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/845984c7939e64529ebaf29452a5bffe2ff62bce42a2a1fb63b05962a768d840.png,"[8, 11, 53]",,"{'relevant': True, 'constructed': True}",,,18.0,,
61970,1,61970-armor-vendor,12,[],4,1466,3,Maria Trepalina,3.0,1.0,1,Armor Vendor,<b>Battlecry:</b> Give 4 Armor to each hero.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/152a76d518ef2cbfebd25c640bd80f36e61fc8522c6145e032a1508429d4a355.png,,"""You look like the kind of person that would buy three sets of armor. One to wear, a spare, and a spare for the spare.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db1016099ab8bd7562cf187973dbd17da18707d02b2603ebea4d460a4cb81bdc.png,[8],,"{'relevant': True, 'constructed': True}",,,,,
69639,1,69639-armorsmith,10,[],4,1637,3,Greg Hildebrandt,4.0,1.0,2,Armorsmith,"Whenever a friendly minion takes damage, gain 1 Armor.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a302406a4ba14f3dcf9e4a54731cb152bab3350988b8a250ead836d20334edd.png,,She accepts guild funds for repairs!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a165b7374d54f0c381a7bd0591cace8b2f39ce174547b61bd1c32ca9f9b3829a.png,,596.0,"{'relevant': True, 'constructed': True}",,,,,
